unit,intervention,metric,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00
0,No emails,monthly_sales,252.1609103871862,115.1117383189464,129.19645255764027,359.7652485288557,351.727105278334,196.3594025568414,158.3171606748522,428.1641850576658,355.4261666135456,256.4440267984572,190.20262938066034,419.880721723742
1,No emails,monthly_sales,219.0993130123542,104.72263859080128,114.89225083810277,318.2462986120354,317.4130788757332,174.36378663642788,140.08144952350858,385.6928000092001,316.5482587153798,231.0651233369054,176.89617254161368,379.5135454515931
2,No emails,monthly_sales,118.62055113422633,70.12324761686075,70.65153640933036,196.23754986601574,220.63372793758336,106.390356522538,83.22897941279086,264.2724860817533,203.28332124069073,157.11038902930025,136.5609776982884,264.8908389015451
3,No emails,monthly_sales,155.2744405841072,92.86012289960883,98.13867648829904,192.96880213643502,178.96769721083575,127.97578583351995,112.3317556339702,211.60289621227173,188.06356965800927,145.07836653648516,116.0350950951113,206.33936375764065
4,No emails,monthly_sales,103.01189017189098,64.68338470991962,72.89249992807578,142.20082215057053,151.81650345506608,88.5543967838693,78.08617693092496,171.3638848672344,144.00350882292886,116.1639924318508,94.01727768776635,170.90882729140625
5,No emails,monthly_sales,178.08826814301352,93.96081651711037,110.99071877708948,212.56554601228504,190.9787029599754,137.30328518867506,123.88621875071601,219.50535426746484,203.99901372441198,154.3337008924685,107.45641503389163,212.53831619630483
6,No emails,monthly_sales,177.6196027170056,96.66819127591107,97.44101292779393,262.2514100086475,266.5541918058515,149.23183172276944,119.2455282086015,326.06011194563405,263.2438373232431,196.48631420570158,163.08657371226855,322.0383130704835
7,No emails,monthly_sales,116.38704887502763,78.37059878161907,79.36739362583779,152.54306780919646,152.333751332653,102.34820481013423,89.25048234005827,178.52850770940918,152.2754067285685,122.04068801423736,105.9073430779719,176.36288513456554
8,No emails,monthly_sales,60.17085736679294,52.558097631442365,45.42337141162433,122.28233530694864,158.8276211656532,67.91641357133491,51.31101122261572,188.32325610827593,133.91098845798257,111.86499129008641,113.57815845467668,192.58851005560464
9,No emails,monthly_sales,235.96948114040103,114.24141270986573,135.7953222655485,285.3304750839987,250.4066465370744,177.2007138103292,156.48831557136606,294.81791071627737,272.20163370299593,199.05642208263467,133.7361060645186,284.0687017059391
10,No emails,monthly_sales,238.98863609755273,111.05328804525783,118.60293810142802,362.0471250530463,366.8959269704295,191.530340871336,149.0875541866747,450.98932034861156,362.303198754513,262.143030289709,204.4292340500474,444.68444319659653
11,No emails,monthly_sales,107.50539678019734,66.25414142130934,82.09304671497581,119.82470799535785,113.44982716473822,85.87071577230253,83.57966634148616,118.07961675294999,116.0010434744128,96.10979808329036,67.1453311731172,115.62759550319647
12,No emails,monthly_sales,128.6977417590481,80.90239069603953,81.7069047461381,180.04542694909637,184.06862659250598,112.14402072089379,94.32963050746832,219.2438291848972,181.02987800627847,141.45497566356903,121.42826001638345,217.09251522874553
13,No emails,monthly_sales,234.85891163966414,118.94606995229276,129.21860404043917,305.39493345128625,280.3188463145588,184.20424856896128,155.26061309861657,340.5860338180994,296.504813289683,216.76547243148886,162.43808594709645,330.9630917232311
14,No emails,monthly_sales,135.31836736197042,81.42403227964063,80.29799850179558,205.44785899368694,217.71754931719545,119.04884799930133,95.664022145466,263.21109482314887,209.08318280978034,160.71298092090558,139.5552158099821,261.75387712943564
15,No emails,monthly_sales,142.89391581383265,87.87719436989698,92.82069110538716,177.71113649144533,166.96197115362023,119.08165746110475,105.11478775407119,195.89552112138045,173.82496704072932,135.6997126362427,109.83477355358559,191.49136082988704
16,No emails,monthly_sales,47.20178427844202,42.899915782325145,33.40205005593023,132.93000017739976,188.7159703571617,61.176850740403694,39.48194266251363,226.37170605493557,150.53657620654525,123.91474378556087,128.3912108781651,233.3744750574144
17,No emails,monthly_sales,268.9299445971151,122.41836291931102,150.1722044126795,327.1482428058125,286.0655123825916,197.78547037107327,173.9095233447266,337.2300501928855,311.41774062280695,224.47888374465506,144.41468350473752,324.5163060133035
18,No emails,monthly_sales,179.9747772984393,96.66209904709554,91.84422963527929,290.9955636727898,308.81957845753294,155.62590296732105,117.57336819677639,383.2088087574887,296.63411207187687,219.85992898010724,189.59674766291585,380.64130276014413
19,No emails,monthly_sales,244.13732804716147,114.54222125004917,123.06131345184014,359.16844445399374,357.2245584892963,194.25725628942217,153.5280306775501,438.5980685763775,357.2972312071913,258.45381888915045,199.45999433406985,431.305372073367
20,No emails,monthly_sales,149.7814970773508,79.27658628422526,83.81275622391374,236.86105570925858,255.4957638838541,127.00983207177622,100.04963384669523,307.2065503755052,241.68388520793803,182.21308112223687,149.75454227713203,305.9637554106478
21,No emails,monthly_sales,214.72528746671216,110.42192873578138,114.2311797961187,305.1727329659546,298.66224129019304,174.5345066690005,140.7859605982505,366.7651214216289,302.5563633286197,222.11043810971756,177.13507281954634,360.0551733574615
22,No emails,monthly_sales,231.0745055734348,111.21291384030516,119.98806667962168,332.5196773357622,327.6718661787752,183.96341811128465,147.66019322061504,400.49732855950094,329.782135789737,239.91080791045178,184.71215335461613,393.3751226061008
23,No emails,monthly_sales,43.91506508970088,50.18037644480986,35.94283431531267,110.2019433629334,153.73961165272283,60.61240763430281,42.35726993854323,186.06060253062395,124.75800568224565,106.67828974341911,119.42145958282715,191.73259406893723
24,No emails,monthly_sales,32.93395648288334,46.7723183144824,31.71980088638461,94.36068655255295,139.18119730871788,52.911792496222205,36.5312924285531,167.64267550534478,109.40904420206901,96.53171639591012,112.94529128833194,173.88678564805616
25,No emails,monthly_sales,234.77335199374312,117.23166448914228,115.53367432712874,358.54296279378343,362.52370370587624,194.02049138314183,149.02921536211747,452.19821382614595,359.6403281943163,261.2224343097841,214.99268465684395,445.90097249415527
26,No emails,monthly_sales,157.43539018123187,86.55219585502395,83.25850309504715,259.4124250951415,281.5050675664343,137.96737507824716,104.49713239998141,346.18884540409266,266.167050805687,199.4783353488636,172.94213617680802,345.0056531049356
27,No emails,monthly_sales,237.7113874052275,115.074524562804,126.18010305463775,327.3495255922024,313.19910659780174,186.76023071007376,153.33038586514144,381.2039306393859,321.58104622311083,233.8612579109999,175.91879259062284,372.7509754891075
28,No emails,monthly_sales,176.34442630312546,101.17738721386408,110.17077190836562,207.5140173266947,181.9427719403758,140.65037536145107,125.76852141763378,214.17530653138115,198.72225703566536,151.43427657338256,114.5802601652103,206.76301468101278
29,No emails,monthly_sales,222.19519502254516,108.96166222776411,116.89192134596219,318.2807498210551,313.52288380113004,177.77310858732437,143.2656441373954,382.77963292914654,315.68361330559725,230.56079670943558,178.70109002118417,376.00829604264
30,No emails,monthly_sales,113.0949492395626,68.19110231792332,67.67662323580021,191.62780027564378,218.54281784369502,103.06596813744459,79.87081192305808,262.01450260240506,199.54878198121932,154.8029494478306,136.46790951104956,263.13576390765076
31,No emails,monthly_sales,228.9493530513487,107.85014813492938,124.43743640825032,310.2482121812346,296.3866686788906,176.73839754656365,147.67890679741512,355.38485594937777,303.93245316461076,221.53191312087543,159.8966073844634,347.3390336199652
32,No emails,monthly_sales,119.30021828085832,75.26352480950904,66.35498817804337,212.80069062796824,243.63244233909307,113.31607320152557,83.55518305189985,300.1614024786288,222.85773590462875,171.35347006281597,159.87685909998757,301.44884468064015
33,No emails,monthly_sales,149.86632233643923,82.07104980817194,79.75354572893238,251.63714352439175,277.07088068715547,131.90807365264016,99.4510680019039,339.3173395999254,259.2747880362105,194.89253570205202,168.76165035800648,338.8245685118602
34,No emails,monthly_sales,133.04367871525415,78.44480661676782,74.8886262703881,220.54761324625363,243.72344646868763,119.75144490978265,91.76926398346008,297.3150316501712,227.69190385414885,173.79499545470995,154.01800290969177,297.2055656294747
35,No emails,monthly_sales,287.30362340759973,128.03194991564135,151.52550320759903,375.69786782929407,344.26558519980307,215.15723942025377,181.29735520316882,414.52339331564013,363.28856640419383,259.9514261117323,177.86499583730742,402.19670111007486
36,No emails,monthly_sales,295.6726183270352,142.41156960408432,160.98254761444042,359.0117576807453,306.94816713093263,222.83095763669115,192.6354329672652,372.35482718111996,341.08081427842535,244.81916073887038,169.49049679986896,357.26385186574004
37,No emails,monthly_sales,74.52237241708491,59.83263211708696,45.68723203480496,162.10087630627953,206.14040043541567,83.77358539855314,57.82689227512586,253.79565047339858,176.7452108349418,141.47774868589204,145.67357252171385,258.336246189538
38,No emails,monthly_sales,259.46942009895264,122.02166431118152,125.0861985667498,395.1098557771845,397.75789155712744,209.64567955771167,161.09121440559585,494.51251493657776,395.2126629927654,284.5197205004846,226.53748825174787,487.1273074321918
39,No emails,monthly_sales,224.36520508141658,111.63939535142362,128.24633372405572,280.0794460713074,252.2776473004424,172.08822828001985,149.44386405602432,299.9750759898248,269.65455756654205,198.08699490626935,140.13042349221428,290.47962259198624
40,No emails,monthly_sales,227.23795450545117,115.84861376602949,120.96510492650741,315.200367677055,302.38241857280104,182.66798624512037,148.77810653050645,371.4100829728053,310.548291095294,227.1044425708978,178.3811063784495,363.4845502682501
41,No emails,monthly_sales,214.292643742232,103.65252246547556,118.0970472112048,291.67520661861727,280.7694834039795,167.22082583788847,139.7459567531859,336.3591475949593,286.50797406405974,210.18506425634712,154.39171405545528,329.2159110749078
42,No emails,monthly_sales,188.47561151586447,98.71984927657971,113.28605915766863,233.4813121478874,213.28530743434882,146.81834089546373,129.27248526492588,250.02409997867227,225.59922056097585,169.07685339759126,121.83108255020652,242.80081254403487
43,No emails,monthly_sales,73.76503849133752,58.685293339015765,64.00907996491894,89.66705008687448,96.05476269131844,67.93339409816353,64.67091363439626,101.65737596980712,90.90418744899155,80.79139949974861,70.37433900226497,101.94581997264098
44,No emails,monthly_sales,125.71214949358217,74.75918517370009,77.62903256723295,189.11713701718722,202.53530613817387,109.38434020084078,89.62329548134387,240.4833071431605,192.63547374684592,149.3618024079911,126.22644104805481,239.55762199732425
45,No emails,monthly_sales,137.27733428164146,81.82304027463299,75.66653905748375,229.10274629540928,252.3359750176894,124.580215664243,94.43225808317897,310.3639209403523,236.56390332278943,179.98532058540812,161.90482459727042,310.0810273846073
46,No emails,monthly_sales,227.23103823445263,116.38913389462421,120.69024741216323,316.02140909944364,303.4494730740185,183.19073979726065,148.8641842272335,373.35785358904064,311.53812041266355,227.85445751878925,179.987429599908,365.4564764110636
47,No emails,monthly_sales,196.66977884268115,96.3131665065471,110.36798286186105,270.6693227218456,264.86278688742453,154.5456982057674,129.3170584432391,315.41023801945744,267.081159631995,197.40648505896172,145.95865867897584,309.5457011640145
48,No emails,monthly_sales,50.673304526746854,48.58026915512096,50.899447240702195,73.82645442377026,93.30967188714725,53.41359419972054,49.610282350686454,98.67400610075963,79.31976170327194,73.80256057247243,70.69851352321403,101.37221596991621
